groups,deciles,props
observed,1,0.37
observed,2,0.84
observed,3,1.42
observed,4,2.13
observed,5,3.01
observed,6,4.22
observed,7,5.32
observed,8,7.16
observed,9,9.94
observed,10,17.9
predicted,1,0.4
predicted,2,0.86
predicted,3,1.41
predicted,4,2.18
predicted,5,3.08
predicted,6,4.3
predicted,7,5.54
predicted,8,7.38
predicted,9,10.2
predicted,10,18.3
