groups,deciles,props
observed,1,0.13
observed,2,0.18
observed,3,0.22
observed,4,0.3
observed,5,0.29
observed,6,0.35
observed,7,0.45
observed,8,0.47
observed,9,0.49
observed,10,0.62
predicted,1,0.12
predicted,2,0.16
predicted,3,0.23
predicted,4,0.3
predicted,5,0.31
predicted,6,0.36
predicted,7,0.44
predicted,8,0.48
predicted,9,0.52
predicted,10,0.67
