groups,deciles,props
observed,1,0.16
observed,2,0.25
observed,3,0.4
observed,4,0.6
observed,5,0.78
observed,6,0.91
observed,7,1.25
observed,8,1.71
observed,9,2.37
observed,10,3.44
predicted,1,0.14
predicted,2,0.25
predicted,3,0.4
predicted,4,0.58
predicted,5,0.76
predicted,6,0.95
predicted,7,1.27
predicted,8,1.7
predicted,9,2.36
predicted,10,3.52
