groups,deciles,props
observed,1,0.64
observed,2,1.3
observed,3,1.95
observed,4,2.83
observed,5,3.98
observed,6,5.28
observed,7,6.79
observed,8,8.96
observed,9,12.1
observed,10,21
predicted,1,0.65
predicted,2,1.29
predicted,3,1.94
predicted,4,2.92
predicted,5,4.02
predicted,6,5.38
predicted,7,7.04
predicted,8,9.16
predicted,9,12.4
predicted,10,21.4
